Ratio,Size,Mean Error(%),CI Lower(%),CI Upper(%),Over(%),Under(%),Peak Signed(%),RMS(%)
0.16,80000,-0.04035000000000011,-0.14066249999999947,0.040275000000002115,38.0,62.0,-0.2953499999999998,0.14023310504299596
0.162,81000,0.05056049382716199,-0.022587654320985195,0.1536469135802465,60.0,40.0,0.2894493827160505,0.1446224470166029
0.164,82000,0.04230243902439146,-0.05495365853658424,0.14718048780487936,57.99999999999999,42.0,-0.3778195121951211,0.15794642944573983
0.166,83000,0.04267710843373629,-0.04286506024096248,0.10894216867469858,64.0,36.0,0.3697855421686769,0.12967189970661785
0.168,84000,0.034709523809525744,-0.03761190476190418,0.12667380952380985,64.0,36.0,0.326971428571432,0.14728212826450646
0.17,85000,-0.024247058823528844,-0.09865882352940863,0.10222352941176571,46.0,54.0,-0.5418941176470571,0.1706853163919902
0.172,86000,-0.006251162790696374,-0.09404186046511609,0.059446511627908594,50.0,50.0,0.34316744186046466,0.11908809461062038
0.174,87000,0.029147126436782078,-0.04901379310344872,0.12569885057471392,60.0,40.0,0.3986873563218418,0.14808666609050644
0.176,88000,0.024536363636365466,-0.09563409090908997,0.0927181818181827,54.0,46.0,0.38590000000000013,0.16114772264104926
0.178,89000,-0.002442696629212371,-0.13811685393258222,0.12396179775281124,50.0,50.0,-0.2794089887640461,0.16108273233256673
0.18,90000,-0.0338222222222212,-0.09437777777777656,0.07117777777777834,44.0,56.00000000000001,-0.3488222222222226,0.13978370769968743
0.182,91000,-0.01725934065933965,-0.0925340659340676,0.07285054945055103,46.0,54.0,0.3360373626373647,0.13068651089510358
0.184,92000,-0.04181739130434681,-0.11192608695651945,0.08399782608695533,38.0,62.0,0.36905217391304257,0.15363574282854942
0.186,93000,0.023400000000001198,-0.08385806451613048,0.11587311827957192,64.0,36.0,0.4970559139784947,0.1500809503077486
0.188,94000,0.019676595744680392,-0.11011063829787088,0.08802765957447028,54.0,46.0,-0.4276638297872337,0.13688629938311908
0.19,95000,0.037084210526314165,-0.07686315789473541,0.11024210526315859,62.0,38.0,0.4155052631578948,0.14420630996525444
0.192,96000,-0.05212083333333284,-0.1294645833333316,0.05985833333333607,40.0,60.0,-0.3328500000000012,0.13609004984445652
0.194,97000,-0.022476288659792343,-0.09567216494845432,0.06515257731958685,46.0,54.0,0.3496886597938176,0.13817855463107143
0.196,98000,-0.031191836734692502,-0.14267142857142673,0.0853897959183697,40.0,60.0,-0.3337428571428547,0.14330202500550665
0.198,99000,0.005218181818181233,-0.056903030303029345,0.08526868686868916,50.0,50.0,0.27238989898989985,0.12343757520277887
0.2,100000,0.0023999999999996247,-0.06160000000000054,0.06540000000000018,50.0,50.0,-0.34159999999999746,0.12726410334418745
