k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
961,521,0.09753750184556327,0.06923076923076923,0.11923076923076924,0.36,18
960,521,0.09644544514985975,0.06525911708253358,0.1324376199616123,0.3,15
959,522,0.09689412491451012,0.0671785028790787,0.1343570057581574,0.38,19
958,522,0.09596833381134127,0.07279693486590039,0.12260536398467432,0.32,16
957,523,0.09707837922976054,0.07074569789674952,0.12619502868068833,0.22,11
956,524,0.09647446470012991,0.07074569789674952,0.13193116634799235,0.2,10
955,524,0.09682593084524106,0.07265774378585087,0.12595419847328243,0.34,17
954,525,0.09630134496546709,0.06870229007633588,0.12213740458015267,0.26,13
953,525,0.09325372591784806,0.05142857142857143,0.1180952380952381,0.28,14
952,526,0.09623204780010865,0.06273764258555133,0.12761904761904763,0.3,15
951,526,0.09525627376425856,0.06844106463878327,0.12380952380952381,0.26,13
950,527,0.09692729489686222,0.07034220532319392,0.11787072243346007,0.3,15
949,527,0.09998419924820169,0.07400379506641366,0.13282732447817835,0.32,16
947,528,0.09758265769650969,0.07007575757575757,0.13257575757575757,0.28,14
948,528,0.0975141596227934,0.07007575757575757,0.12333965844402277,0.4,20
946,529,0.09834786904966489,0.06994328922495274,0.1285444234404537,0.24,12
945,530,0.09846253165459927,0.07169811320754717,0.14555765595463138,0.34,17
944,530,0.095117808610051,0.06792452830188679,0.12075471698113208,0.26,13
943,531,0.09756045908396403,0.07547169811320754,0.12452830188679245,0.2,10
942,531,0.09554382972675265,0.0696798493408663,0.12994350282485875,0.32,16
941,532,0.09795994222845249,0.07894736842105263,0.1224105461393597,0.38,19
940,532,0.09731560539767496,0.0696798493408663,0.12429378531073447,0.28,14
939,533,0.09839897586367419,0.07706766917293233,0.1275797373358349,0.38,19
938,534,0.09458242862463198,0.058161350844277676,0.12195121951219512,0.3,15
937,534,0.09599103372191892,0.06941838649155722,0.12921348314606743,0.22,11
936,535,0.09965438062235292,0.06728971962616823,0.14232209737827714,0.4,20
935,535,0.09499534460429135,0.07116104868913857,0.11588785046728972,0.32,16
933,536,0.09418566048263356,0.05970149253731343,0.12126865671641791,0.26,13
934,536,0.09999379271864976,0.06728971962616823,0.12313432835820895,0.3,15
932,537,0.09526480724867285,0.06517690875232775,0.13432835820895522,0.3,15
930,538,0.09820059119575225,0.06319702602230483,0.12453531598513011,0.3,15
931,538,0.0979036087862488,0.06890130353817504,0.1266294227188082,0.28,14
928,539,0.10239442448151957,0.07421150278293136,0.12987012987012986,0.22,11
929,539,0.0983271375464684,0.07792207792207792,0.11895910780669144,0.32,16
927,540,0.093859410430839,0.06111111111111111,0.1259259259259259,0.28,14
926,540,0.09819349962207104,0.07407407407407407,0.12222222222222222,0.28,14
925,541,0.09842260560005477,0.07222222222222222,0.133086876155268,0.34,17
924,542,0.09832243146830728,0.07749077490774908,0.1256931608133087,0.34,17
923,542,0.09683461677500325,0.07380073800738007,0.12546125461254612,0.3,15
922,543,0.09890134757701169,0.06445672191528545,0.13259668508287292,0.3,15
921,543,0.09501165453643487,0.06629834254143646,0.12154696132596685,0.44,22
920,544,0.09633564890044416,0.058931860036832415,0.125,0.26,13
919,545,0.09619137884511603,0.07536764705882353,0.13051470588235295,0.32,16
918,545,0.09733358067997841,0.07339449541284404,0.15441176470588236,0.28,14
916,546,0.09933024162381958,0.0695970695970696,0.13736263736263737,0.28,14
917,546,0.09921510904997145,0.07155963302752294,0.12477064220183487,0.18,9
915,547,0.09334458350911731,0.0695970695970696,0.13711151736745886,0.2,10
914,548,0.09757943127076688,0.07312614259597806,0.1206581352833638,0.36,18
913,548,0.09487790069256329,0.07116788321167883,0.11882998171846434,0.4,20
912,549,0.09624911916822891,0.06386861313868614,0.12226277372262774,0.3,15
911,549,0.09329018919601667,0.06934306569343066,0.13479052823315119,0.36,18
910,550,0.09721715515813877,0.07832422586520947,0.13272727272727272,0.2,10
909,551,0.09544491008084474,0.07090909090909091,0.13818181818181818,0.32,16
908,551,0.09789915855469396,0.07259528130671507,0.12727272727272726,0.3,15
907,552,0.09559582051079722,0.06715063520871144,0.1286231884057971,0.28,14
906,552,0.09540992661563957,0.06521739130434782,0.125,0.26,13
905,553,0.09529889666378383,0.07427536231884058,0.11956521739130435,0.3,15
903,554,0.10016921158629336,0.0650994575045208,0.13176895306859207,0.26,13
904,554,0.0987181177822315,0.07414104882459313,0.12658227848101267,0.3,15
902,555,0.09792402510814062,0.07027027027027027,0.13176895306859207,0.36,18
901,555,0.10037434546459817,0.06846846846846846,0.12432432432432433,0.32,16
900,556,0.09607790524337288,0.07194244604316546,0.12612612612612611,0.36,18
899,557,0.09746141327512495,0.07733812949640288,0.12949640287769784,0.36,18
898,557,0.09884084832672464,0.07001795332136446,0.12746858168761221,0.32,16
897,558,0.098580143240478,0.07347670250896057,0.12926391382405744,0.22,11
896,559,0.09512204974320503,0.06810035842293907,0.12724014336917563,0.36,18
895,559,0.09630785901603606,0.07526881720430108,0.11806797853309481,0.36,18
894,560,0.09587975977510861,0.06607142857142857,0.1252236135957066,0.24,12
893,560,0.09726648351648352,0.06964285714285715,0.11785714285714285,0.28,14
892,561,0.09819830659536541,0.0748663101604278,0.13368983957219252,0.38,19
891,562,0.09767915707208152,0.07130124777183601,0.11743772241992882,0.44,22
890,562,0.09884706389835132,0.0711743772241993,0.12811387900355872,0.3,15
889,563,0.09938736939248939,0.06227758007117438,0.1387900355871886,0.26,13
887,564,0.09749631533199804,0.07092198581560284,0.13143872113676733,0.46,23
888,564,0.09766814053386748,0.07104795737122557,0.12234042553191489,0.4,20
886,565,0.09618715872717001,0.06902654867256637,0.13120567375886524,0.32,16
885,565,0.09735385677524634,0.06914893617021277,0.12920353982300886,0.32,16
884,566,0.09697664092060414,0.07420494699646643,0.12367491166077739,0.38,19
883,567,0.0973524407800026,0.06525573192239859,0.13074204946996468,0.24,12
882,567,0.09784171854843232,0.06878306878306878,0.1164021164021164,0.34,17
881,568,0.09498708299177781,0.05985915492957746,0.12169312169312169,0.2,10
880,569,0.09774548874972153,0.0721830985915493,0.125,0.14,7
879,569,0.0959789227456125,0.07381370826010544,0.1282952548330404,0.28,14
878,570,0.09754947121758702,0.0773286467486819,0.1195079086115993,0.28,14
877,571,0.09907463053430422,0.08070175438596491,0.12982456140350876,0.36,18
876,571,0.09553052508679755,0.06830122591943957,0.12105263157894737,0.24,12
875,572,0.09842430774129549,0.06818181818181818,0.12062937062937062,0.32,16
873,573,0.09676985318346576,0.06293706293706294,0.13089005235602094,0.42,21
874,573,0.10009171456815437,0.07342657342657342,0.13286713286713286,0.34,17
872,574,0.1001840061781321,0.078397212543554,0.1254355400696864,0.4,20
870,575,0.10056827753370703,0.078397212543554,0.12521739130434784,0.32,16
871,575,0.09813301014997729,0.07317073170731707,0.12717770034843207,0.32,16
869,576,0.09913387681159419,0.06782608695652174,0.14756944444444445,0.22,11
868,577,0.09426463508569227,0.07118055555555555,0.11805555555555555,0.24,12
867,577,0.09408422395532448,0.07452339688041594,0.12131715771230503,0.2,10
866,578,0.09791356077551829,0.07279029462738301,0.1195840554592721,0.28,14
865,579,0.09809347939114689,0.0726643598615917,0.12110726643598616,0.24,12
864,579,0.09663571005970203,0.06563039723661486,0.13298791018998274,0.24,12
863,580,0.09529015544041451,0.05699481865284974,0.12413793103448276,0.32,16
862,581,0.09802712327141076,0.06379310344827586,0.11551724137931034,0.4,20
861,581,0.09791851148436109,0.06896551724137931,0.12908777969018934,0.36,18
860,582,0.09663171093800829,0.06884681583476764,0.1359724612736661,0.32,16
859,583,0.09796337229521432,0.07731958762886598,0.11855670103092783,0.28,14
858,583,0.09755530406182028,0.07032590051457976,0.12178387650085763,0.3,15
857,584,0.09448395169059425,0.0686106346483705,0.12178387650085763,0.36,18
855,585,0.09575038051750379,0.06837606837606838,0.1267123287671233,0.28,14
856,585,0.0996682472778363,0.07191780821917808,0.1284246575342466,0.36,18
854,586,0.09694442985910562,0.06313993174061433,0.15187713310580206,0.24,12
853,587,0.0953724904210104,0.07167235494880546,0.1296928327645051,0.44,22
852,587,0.09815932229011982,0.07325383304940375,0.12436115843270869,0.42,21
851,588,0.09618276953029932,0.06802721088435375,0.1141396933560477,0.3,15
850,589,0.09600008084727948,0.07482993197278912,0.13435374149659865,0.3,15
849,589,0.09872001432151807,0.07130730050933787,0.1326530612244898,0.26,13
